,newid,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr
0,113,GR,5,F,,,,,,Y,,
1,168,EN,6,F,N,N,N,N,N,Y,N,N
2,169,SI,6,F,,,Y,,,,,
3,170,GR,5,M,,,,,,,,Y
4,171,GM,2,F,,,,,,Y,,
5,172,EN,6,M,,,,Y,,,,
6,252,GR,5,F,,,,,,Y,,
7,253,GR,5,F,N,N,N,N,N,Y,N,N
8,284,LA,6,F,N,N,Y,N,N,N,N,N
9,285,LW,5,F,N,N,Y,N,N,N,N,N
10,286,BU,6,F,N,N,Y,N,N,N,Y,N
11,287,UG,1,F,N,N,N,Y,N,N,N,N
12,288,SW,4,F,N,N,N,N,N,Y,N,N
13,289,BU,6,M,N,N,N,N,N,Y,N,N
14,290,LW,5,M,N,N,N,N,N,Y,N,N
15,291,SW,4,F,,,,Y,,,,
16,292,BU,6,M,N,N,Y,N,N,N,N,N
17,293,PM,2,M,N,N,N,N,N,Y,N,N
18,294,LW,5,M,N,N,N,N,N,Y,N,N
19,296,UG,1,M,,,,,,Y,,
20,310,GR,5,F,N,N,Y,N,N,N,Y,N
21,336,GR,5,F,,,,,,,Y,
22,343,GR,5,M,,,,,,Y,,
23,373,GR,6,M,,,,,,,Y,
24,484,GR,5,M,,,,,,Y,,
25,505,GR,6,F,N,N,Y,N,N,N,Y,N
26,506,GR,5,F,N,N,Y,N,N,N,N,N
27,508,GR,5,F,,,,,,,Y,
28,509,GR,5,M,,,,,,,Y,
29,512,LW,1,F,,,,,,Y,,
30,513,GA,4,F,N,N,Y,N,N,N,N,N
31,514,LA,6,F,N,N,Y,N,N,N,N,N
32,515,SI,2,M,,,,,,,Y,
33,516,LW,3,F,N,N,N,N,N,Y,N,N
34,517,LW,5,M,,,,,,Y,,
35,518,GA,6,F,N,N,N,N,N,Y,N,N
36,519,BU,6,M,N,N,Y,N,N,N,Y,N
37,520,GR,4,F,N,N,Y,N,N,N,Y,N
39,522,BU,6,M,N,N,Y,N,N,N,Y,N
41,524,LW,5,M,N,N,Y,N,N,N,N,N
42,525,UG,3,F,,,,Y,,,,
43,527,LA,6,M,N,N,N,N,N,N,N,Y
44,528,SI,2,M,N,N,Y,N,N,N,N,N
45,530,LW,3,F,,,,,,Y,,
46,531,GR,3,F,N,N,Y,N,N,N,Y,N
47,532,GA,5,M,N,N,N,N,N,Y,N,N
48,533,FA,6,F,N,N,Y,Y,N,N,N,N
52,537,UG,0,M,N,N,N,N,N,Y,N,N
53,538,EN,6,M,N,N,Y,N,N,N,N,N
54,539,LW,5,M,N,N,N,N,N,Y,N,N
55,540,BU,6,M,N,N,N,N,N,Y,N,N
56,543,GB,2,M,,,Y,,,,,
57,546,GR,5,M,,,,,,,,Y
58,549,GR,5,M,N,N,Y,N,N,N,Y,N
59,550,GR,6,F,,,,,,,Y,
60,556,GR,5,F,,,,,,Y,,
61,557,GR,5,F,N,N,N,N,N,Y,N,N
62,558,GR,6,M,,,Y,,,,,
63,565,GR,5,F,N,N,N,N,N,Y,N,N
64,569,GR,5,M,,,,,,Y,,
65,587,GR,5,F,,,,,,Y,,
66,595,GR,5,F,,,,,,,Y,
67,596,GR,3,M,,,,,,,Y,
68,611,GR,5,M,,,,,,,Y,
69,615,GR,5,M,,,,,,Y,,
70,649,EN,6,M,N,N,N,N,N,Y,N,N
71,650,LA,6,F,N,N,N,N,N,Y,N,N
72,652,GM,2,F,N,N,N,N,N,Y,N,
73,656,LW,3,M,,,,,,Y,,
74,660,LA,6,F,Y,N,N,N,N,Y,N,N
75,661,SI,3,M,N,N,N,N,N,Y,N,N
76,662,UG,1,F,N,N,N,N,N,Y,N,N
77,663,LA,3,M,N,N,N,N,N,Y,N,N
78,664,AR,6,M,N,N,Y,N,N,N,Y,N
79,665,GR,2,M,N,N,Y,N,N,N,N,N
80,666,BU,6,M,N,N,N,N,N,N,Y,N
81,667,GH,6,M,N,N,Y,N,N,N,N,N
82,668,GA,6,M,N,N,N,N,N,Y,N,N
83,669,GP,6,M,,,,Y,,,,
84,670,LA,3,M,N,N,Y,N,N,N,N,N
85,671,EN,6,M,N,N,Y,N,N,N,Y,N
86,672,BU,4,M,N,N,N,N,N,N,N,Y
87,673,LW,3,M,N,N,N,N,N,Y,N,N
88,674,LA,6,F,N,N,N,N,N,Y,N,N
89,675,LW,5,M,N,N,N,N,N,Y,N,N
90,676,LA,6,M,N,N,Y,N,N,N,Y,N
91,677,GM,1,M,Y,N,N,N,N,N,N,N
93,679,LA,6,M,N,N,N,N,N,Y,N,N
94,680,SW,4,F,N,N,N,N,N,Y,N,N
95,681,LW,5,M,N,N,N,N,N,Y,N,N
96,682,EN,6,M,,,,,,Y,,
97,683,SW,4,F,N,N,N,N,N,N,N,Y
98,690,LW,3,M,N,N,N,N,N,Y,N,N
99,691,GB,6,M,,,,,,,Y,
100,694,LA,6,M,N,N,Y,N,N,N,Y,N
101,695,GR,5,F,,,,,,Y,,
102,696,LW,5,F,,,,,,Y,,
103,697,LA,6,F,N,N,N,Y,N,N,N,N
104,698,LA,6,M,N,N,Y,N,N,N,N,N
105,699,GR,6,M,N,N,N,N,N,Y,Y,N
106,701,GR,5,M,N,N,N,N,N,Y,N,N
107,837,GR,5,M,,,,,,,Y,
108,839,GR,5,M,,,,,,,Y,
109,841,GR,5,M,,,,,,,Y,
110,842,GB,6,F,,,,,,,Y,
111,844,GR,5,M,,,,,,Y,,
112,848,GR,5,F,,,,,,,Y,
113,849,GR,6,F,,,,,,,Y,
114,859,GR,5,M,,,Y,,,,Y,
115,860,GR,5,M,,,,,,,Y,
116,866,GR,5,M,,,,,,,Y,
117,868,GR,5,F,,,,,,,Y,
118,870,GR,6,F,,,,,,,Y,
119,873,GR,6,M,,,,,,,Y,
120,874,GB,5,F,N,N,N,N,N,Y,N,N
121,875,GR,0,M,Y,,,,,,,
122,878,GR,5,F,,,,,,Y,,
123,884,GR,5,M,N,N,N,N,N,Y,N,N
124,886,GR,5,F,N,N,N,N,N,Y,Y,N
125,889,GR,5,F,,,,,,Y,,
126,894,GR,5,F,N,N,N,N,N,Y,N,N
127,895,GR,5,M,,,,Y,,,,
128,898,GR,5,F,,,,,,Y,,
129,904,GR,5,M,N,N,N,N,N,Y,N,N
130,907,LW,5,M,,,,,,Y,,
131,909,GR,5,M,,,,,,Y,,
132,910,GR,5,F,Y,N,N,N,N,N,N,N
133,913,LA,6,F,,,,,,Y,,
134,914,GR,5,M,,,,,,,Y,
135,916,GR,5,M,,,,,,,Y,
136,917,GR,4,F,,,,,,,,
137,918,GR,5,F,,,,,,,,Y
138,919,GR,4,M,,,,,,,Y,
139,920,GR,5,M,,,,,,,Y,
140,924,GR,5,M,,,,,,Y,,
141,926,GR,5,F,,,,,,,Y,
142,933,GR,5,F,,,,,,Y,,
143,934,GR,5,F,N,N,N,N,N,Y,Y,N
144,940,GR,5,F,,,,,,,Y,
145,941,GR,5,F,Y,N,N,N,N,Y,N,N
146,942,GR,5,F,,,,,,Y,,
147,956,GB,6,M,,,,,,,Y,
148,961,GR,5,F,,,,,,Y,,
149,973,SW,4,F,,,,,,Y,,
150,976,GR,5,M,,,,,,,Y,
151,986,GR,5,M,Y,,,,,,,
152,989,GR,5,M,,,,,,Y,,
153,995,GR,5,F,,,,,,,,Y
154,1004,GR,6,M,N,N,Y,N,N,Y,N,N
155,1005,GM,6,F,,,,Y,,,,
156,1006,UG,1,M,,,,Y,,,,
157,1007,EN,6,M,N,N,N,N,N,Y,N,N
158,1008,LA,6,M,N,N,N,Y,N,N,N,N
159,1009,GB,3,F,,,,,,Y,,
160,1010,LA,6,M,N,N,Y,N,N,N,N,N
161,1011,UG,1,M,N,N,Y,N,N,N,N,N
162,1014,FA,6,F,N,N,N,N,N,N,N,Y
163,1015,LA,6,M,N,N,Y,N,N,N,Y,N
164,1016,EN,6,F,N,N,N,Y,N,N,N,N
165,1017,LA,6,M,Y,N,N,N,N,N,N,N
166,1018,LA,6,M,N,N,Y,N,N,Y,N,N
167,1019,LA,6,F,N,N,N,N,N,N,N,Y
169,1021,GB,0,M,N,N,Y,N,N,N,N,N
170,1022,UC,0,F,N,N,N,N,N,Y,N,N
172,1024,LA,6,F,N,N,N,N,N,Y,N,N
173,1025,LW,3,M,N,N,N,N,N,Y,N,N
174,1026,LA,6,M,N,N,Y,N,N,N,Y,N
176,1028,EN,6,M,N,N,Y,N,N,N,Y,N
177,1029,SI,1,M,N,N,Y,N,N,N,Y,N
178,1030,SI,1,F,N,N,N,N,N,Y,N,N
179,1031,LW,3,M,N,N,N,N,N,Y,N,N
180,1033,LA,6,M,N,N,N,N,N,Y,N,N
181,1034,BU,6,M,,,,,,,Y,
182,1035,GB,2,F,N,N,Y,N,N,N,Y,N
183,1036,EN,6,M,N,N,Y,N,N,N,Y,N
184,1037,GM,1,M,N,N,N,Y,N,N,N,N
186,1039,GM,2,M,N,N,N,N,N,Y,N,N
187,1040,EN,6,M,N,N,Y,N,N,N,N,N
188,1041,LA,6,F,N,N,N,N,N,Y,N,N
189,1042,LA,6,M,N,N,N,N,N,N,N,Y
190,1043,LA,5,M,N,N,N,N,N,N,N,Y
191,1044,EN,6,M,N,N,Y,N,N,N,Y,N
192,1045,FA,6,F,N,N,N,N,N,Y,N,N
193,1046,EN,6,F,N,N,Y,N,N,N,Y,N
194,1047,SW,4,F,N,N,N,N,N,Y,N,N
195,1048,LA,6,F,Y,N,N,N,N,N,N,N
196,1049,LA,4,M,,,,,,Y,,
197,1050,SI,2,M,N,N,N,N,N,Y,N,N
198,1051,SI,6,M,N,N,N,N,N,Y,N,N
199,1052,EN,6,M,N,N,Y,N,N,N,Y,N
200,1053,BU,6,F,N,N,N,N,N,Y,N,N
201,1054,LA,6,M,N,N,Y,N,N,N,Y,N
202,1055,SI,6,F,N,N,N,N,N,Y,N,N
203,1056,GB,0,F,N,N,N,N,N,Y,N,N
205,1058,LA,6,M,N,N,N,N,N,N,N,Y
206,1059,LA,6,M,N,N,Y,N,N,N,Y,N
207,1060,EN,6,F,,,,,,Y,,
208,1061,EN,6,M,,,,Y,,,,
209,1062,GM,6,M,N,N,Y,N,N,N,N,N
210,1063,BU,4,F,,,,,,Y,,
211,1064,LA,6,M,N,N,Y,N,N,N,Y,N
212,1065,SI,6,M,N,N,N,N,N,Y,N,N
213,1066,SI,1,M,N,N,N,N,N,Y,N,N
214,1067,EN,6,M,N,N,N,N,N,N,N,Y
215,1068,BU,6,M,N,N,Y,N,N,N,Y,N
216,1069,GM,1,M,N,N,N,N,N,Y,N,N
217,1070,LA,6,F,N,N,N,N,N,N,N,Y
218,1071,EN,6,M,N,N,Y,N,N,N,Y,N
219,1072,SI,6,M,N,N,N,N,N,Y,N,N
220,1073,EN,6,M,N,N,N,N,N,Y,N,N
221,1074,EN,6,M,N,N,Y,N,N,N,N,N
222,1075,LA,6,M,N,N,Y,N,N,N,N,N
223,1076,UC,2,F,N,N,Y,N,N,N,N,N
224,1077,EN,6,M,N,N,N,Y,N,Y,N,N
225,1078,EN,6,M,N,N,N,N,N,Y,N,N
226,1079,LA,6,M,N,N,N,N,N,Y,N,N
227,1080,LA,6,M,N,N,N,N,N,N,N,Y
228,1081,LA,6,F,N,N,N,Y,N,N,N,N
229,1082,GA,5,F,N,N,Y,N,N,N,Y,N
230,1083,EN,6,F,N,N,N,N,N,Y,N,N
231,1084,GR,2,F,Y,N,N,N,N,Y,N,N
232,1085,EN,6,M,N,N,Y,N,N,N,Y,N
233,1086,LA,6,M,N,N,Y,N,N,Y,N,N
234,1088,SW,1,M,,,,Y,,,,
235,1089,BU,6,M,N,N,Y,N,N,N,Y,N
236,1090,SI,6,M,N,N,Y,N,N,Y,N,N
237,1091,SI,1,M,N,N,N,N,N,Y,N,N
238,1092,LA,6,F,N,N,Y,N,N,N,N,N
239,1093,LA,6,F,N,N,N,Y,N,Y,N,N
240,1094,EN,2,M,N,N,Y,N,N,N,Y,N
241,1095,GB,3,M,N,N,Y,N,N,N,Y,N
242,1096,GR,2,M,N,N,N,N,N,Y,N,N
243,1097,BU,6,M,N,N,Y,N,N,N,N,N
244,1098,SI,6,F,N,N,N,N,N,Y,N,N
245,1099,GB,0,M,N,N,N,N,N,Y,N,N
246,1100,FA,6,F,N,N,Y,N,N,N,Y,N
247,1101,SI,1,M,N,N,Y,N,N,N,N,N
248,1102,EN,6,M,Y,N,N,N,N,N,N,N
249,1103,BU,5,M,N,N,Y,N,N,N,Y,N
250,1104,SI,0,M,N,N,N,N,N,N,N,Y
251,1105,EN,6,M,N,N,N,N,N,Y,N,N
252,1106,EN,3,M,N,N,Y,N,N,N,Y,N
253,1107,GR,1,M,,,,,,Y,,
254,1108,LA,5,M,N,N,Y,N,N,N,Y,N
255,1109,BU,5,M,N,N,Y,N,N,N,Y,N
256,1111,SI,6,M,N,N,N,N,N,Y,N,N
257,1112,GR,0,F,N,N,Y,N,N,N,Y,N
258,1113,BU,6,F,N,N,Y,N,N,N,Y,N
259,1114,GR,1,M,N,N,Y,N,N,N,Y,N
260,1115,LA,5,M,,,Y,,,,,
261,1116,LA,6,M,N,N,N,N,N,Y,N,N
262,1117,LW,3,M,N,N,N,N,N,Y,N,N
263,1118,GR,0,M,N,N,N,N,N,Y,N,N
264,1119,GM,6,F,,,,Y,,,,
265,1120,BU,6,M,,,,Y,,,,
267,1122,LA,6,M,N,N,N,N,N,Y,N,N
268,1123,SI,6,M,N,N,Y,N,N,Y,N,N
269,1124,SI,2,F,N,N,Y,N,N,N,Y,N
270,1125,GB,1,F,N,N,Y,N,N,N,Y,N
271,1126,GA,4,M,N,N,Y,N,N,Y,N,N
272,1127,SI,1,M,N,N,Y,N,N,N,Y,N
273,1128,BU,5,M,N,N,Y,N,N,N,Y,N
274,1129,AR,6,M,N,N,N,N,N,N,N,Y
275,1130,LA,6,M,N,N,N,N,N,Y,N,N
277,1132,BU,6,M,N,N,N,N,N,Y,N,N
278,1133,FA,6,F,Y,N,N,N,N,N,N,N
279,1134,LW,1,M,N,N,N,N,N,Y,N,N
280,1135,SI,2,F,N,N,N,N,N,Y,N,N
281,1136,LA,6,M,N,N,Y,N,N,Y,N,N
282,1140,GR,5,M,,,Y,,,,,
283,1148,GR,4,M,,,,,,,Y,
284,1150,GR,5,M,,,,,,,Y,
285,1152,GR,5,F,,,,,,Y,,
286,1156,LA,6,F,N,N,N,N,N,Y,N,N
287,1157,GR,5,F,,,,,,Y,,
288,1161,GR,5,M,N,N,Y,N,N,N,Y,N
289,1162,GB,6,F,,,,,,,Y,
290,1164,GR,6,F,,,,,,Y,,
291,1165,GR,5,F,N,N,Y,N,N,N,Y,N
292,1166,GR,5,M,,,,,,,Y,
293,1167,GR,5,F,,,,,,,Y,
294,1168,GR,6,F,,,,,,,Y,
295,1169,GR,5,M,,,,,,,Y,
296,1170,SI,0,M,,,,,,Y,,
297,1172,LA,6,F,,,,,,,,Y
298,1173,LA,3,F,N,N,Y,N,N,N,Y,N
299,1174,SI,1,M,N,N,Y,N,N,N,Y,N
300,1175,GR,0,M,N,N,Y,N,N,N,Y,N
301,1176,EN,6,M,N,N,N,N,N,Y,N,N
302,1177,SW,4,F,N,N,N,N,N,Y,N,N
303,1178,BU,6,M,N,N,Y,N,N,N,Y,N
304,1179,GH,4,F,,,,,,,Y,
305,1180,SI,6,M,N,N,Y,N,N,N,Y,N
306,1181,EN,6,M,N,N,Y,N,N,N,N,N
307,1182,LA,6,M,N,N,N,N,N,Y,N,N
308,1183,SI,6,F,,,,Y,,,,
309,1184,LA,6,M,N,N,Y,N,N,N,Y,N
310,1185,EN,6,M,N,N,N,N,N,Y,N,N
311,1186,LA,5,M,N,N,N,N,N,Y,N,N
313,1188,LA,6,M,N,N,Y,N,N,N,Y,N
314,1189,LA,6,F,N,N,Y,N,N,N,N,N
315,1191,LA,6,F,N,N,Y,N,N,N,Y,N
316,1192,SW,2,M,N,N,N,N,N,N,N,Y
317,1193,EN,6,M,N,N,N,N,N,Y,N,N
318,1194,LA,6,M,N,N,Y,N,N,N,,N
319,1195,LA,6,M,N,N,N,N,N,Y,N,N
320,1196,LA,6,F,N,N,Y,N,N,N,N,N
321,1197,FA,6,F,,,,,,Y,,
322,1198,GR,1,F,N,N,N,N,N,Y,N,N
323,1200,GB,1,F,,,,,,,Y,
324,1201,GR,5,F,,,,,,Y,,
325,1202,GR,5,F,,,,,,,Y,
326,1203,GB,6,F,N,N,Y,N,N,N,Y,N
327,1205,GR,5,M,N,N,Y,N,N,N,Y,N
328,1207,GR,6,F,,,,,,Y,,
329,1209,GR,6,M,,,,,,,Y,
330,1210,GR,5,F,N,N,Y,N,N,N,Y,N
331,1212,GR,5,M,,,,,,Y,,
332,1213,GR,5,M,,,,,,,Y,
333,1214,SI,0,M,,,Y,,,,,
334,1215,GR,5,M,,,,,,Y,,
335,1216,GR,5,F,,,,,,Y,,
336,1217,GR,5,F,N,N,N,N,N,Y,N,N
337,1218,GR,5,F,,,,,,Y,,
338,1219,GR,6,M,,,,,,,Y,
339,1221,GR,6,F,,,,,,,,Y
340,1222,GR,5,F,,,,,,Y,,
341,1223,GR,5,M,Y,N,N,N,N,Y,N,N
342,1224,GR,4,M,N,N,N,N,N,Y,N,
343,1225,GR,5,F,,Y,,,,,,
344,1228,GR,5,F,,,,,,Y,,
345,1230,GB,5,M,,,,,,,Y,
346,1231,GR,6,M,,,,,,Y,,
347,1234,GR,5,M,,,,,,Y,,
348,1235,GR,6,F,,,,,,Y,,
349,1236,GR,5,M,,,,,,,Y,
350,1237,GR,5,M,,,,,,,Y,Y
351,1239,GR,5,F,,,Y,,,,,
352,1241,GR,5,M,N,N,N,N,N,Y,N,N
353,1242,GR,5,F,,,Y,,,,,
354,1243,GR,5,F,,,,,,Y,,
355,1247,GR,5,M,,,,,,Y,,
356,1248,GR,5,M,Y,,,,,,,
357,1250,GR,5,M,,,,,,,Y,
358,1251,GR,5,M,N,N,N,N,N,N,Y,Y
359,1252,LA,6,M,,,,,,Y,,
360,1253,GR,5,M,,,,,,Y,,
361,1254,GR,6,F,,,,,,,Y,
362,1256,GR,1,F,N,N,N,N,N,Y,N,N
363,1257,GR,6,F,,,,,,Y,,
364,1258,GR,5,F,,,,,,Y,,
365,1259,GR,5,M,,,,,,Y,,
366,1261,GR,5,F,Y,,,,,,,
367,1263,GR,5,M,N,N,N,N,N,Y,Y,N
368,1266,GR,6,F,,,,,,,,
369,1267,GR,5,F,N,N,N,N,N,Y,N,N
370,1268,GR,5,F,,,,,,,Y,
371,1270,GR,5,F,,,,,,Y,,
372,1271,GR,6,M,,,,,,,,Y
373,1276,GR,4,F,,,,,,,Y,
374,1282,GR,5,F,,,,Y,,,,
375,1285,GR,5,M,N,N,N,N,N,Y,N,N
376,1292,GR,5,M,,,,,,,Y,
377,1294,GR,5,F,,,,,,Y,,
378,1302,GB,5,M,,,,,,,Y,
379,1305,GR,6,M,,,,,,Y,,
380,1310,EN,6,M,N,N,Y,N,N,N,Y,N
381,1311,GR,6,M,,,,,,Y,,
382,1312,SI,6,M,N,N,N,N,N,Y,N,N
383,1320,GR,5,F,,,,,,,,Y
384,1321,GR,5,M,,,,,,,Y,
385,1323,GR,5,F,N,N,N,N,N,Y,N,N
386,1324,GR,5,M,,,,,,,,Y
387,1326,GR,5,M,,,,,,Y,,
388,1327,GR,5,M,,,,,,,Y,
389,1332,GR,5,M,,,,,,Y,,
390,1333,GR,5,M,,,,,,,Y,
391,1346,GR,5,M,,,,,,,Y,
392,1349,GR,5,M,N,N,Y,N,N,N,Y,N
393,1351,GR,5,F,,,,,,,Y,
394,1353,GB,5,M,,,,,,,Y,
395,1354,GR,5,F,,,,,,Y,,
398,1361,GR,5,F,,,Y,,,,Y,
399,1375,GR,6,F,,,Y,,,,Y,
400,1379,LA,6,M,N,N,N,N,N,Y,N,N
401,1380,LA,6,M,N,N,N,N,N,Y,N,N
402,1381,BU,6,M,N,N,N,N,N,Y,N,N
403,1382,EN,6,M,N,N,N,N,N,N,N,Y
404,1383,LA,6,M,N,N,Y,N,N,N,N,N
405,1384,EN,6,F,N,N,N,N,N,Y,N,N
406,1385,LA,6,F,N,N,N,N,N,Y,N,N
407,1386,BU,6,M,N,N,N,N,N,Y,N,N
408,1387,EN,6,M,N,N,N,N,N,Y,N,N
409,1388,LA,6,F,N,N,N,N,N,Y,N,N
410,1389,EN,6,M,N,N,N,N,N,Y,N,N
411,1390,LA,6,M,N,N,Y,N,N,N,N,N
412,1391,BU,6,M,N,N,N,N,N,Y,N,N
413,1392,LA,6,F,N,N,N,N,N,Y,N,N
414,1393,EN,6,M,N,N,N,N,N,Y,N,N
415,1394,LA,6,M,N,N,N,N,N,Y,N,N
416,1395,EN,6,F,N,N,N,N,N,Y,N,N
417,1396,LA,6,M,N,N,N,N,N,Y,N,N
418,1397,BU,6,M,N,N,N,N,N,Y,N,N
419,1398,GB,0,F,N,N,N,N,N,Y,N,N
420,1399,LA,6,M,N,N,Y,N,N,N,N,N
421,1400,LA,6,M,N,N,N,N,N,N,Y,N
422,1401,LA,6,F,N,N,N,N,N,Y,N,N
423,1402,AR,6,F,N,N,N,N,N,Y,N,N
424,1403,LA,6,F,N,N,N,N,N,Y,N,N
425,1404,FA,6,M,Y,N,N,N,N,Y,N,N
426,1405,LA,6,M,N,N,N,N,N,Y,N,N
427,1406,LA,6,F,N,N,N,N,N,Y,N,N
428,1407,AR,6,M,N,N,N,N,N,Y,N,N
429,1408,LA,6,M,N,N,N,N,N,Y,N,N
430,1409,EN,6,M,N,N,N,N,N,Y,N,N
431,1410,LA,6,F,N,N,N,N,N,Y,N,N
432,1411,LA,6,M,Y,N,N,N,N,Y,N,N
433,1412,LA,5,M,N,N,N,N,N,N,N,Y
434,1413,UG,6,F,N,N,Y,N,N,Y,N,N
435,1414,LA,6,F,N,N,Y,N,N,N,N,N
436,1415,LA,6,F,N,N,N,N,N,Y,N,N
437,1416,FA,6,F,Y,N,N,N,N,Y,N,N
438,1417,LA,6,F,N,N,N,N,N,Y,N,N
439,1418,LA,6,F,N,N,N,N,N,Y,N,N
440,1419,EN,6,M,N,N,N,N,N,Y,N,N
441,1420,FA,6,F,N,N,N,N,N,Y,N,N
442,1421,LA,6,M,N,N,Y,N,N,Y,N,N
443,1422,EN,6,M,N,N,N,N,N,Y,N,N
444,1423,LA,6,F,N,N,N,N,N,Y,N,N
445,1424,EN,6,M,N,N,N,N,N,Y,N,N
446,1425,LA,6,M,N,N,N,N,N,Y,N,N
447,1426,LA,6,F,Y,N,N,Y,N,N,N,N
448,1427,LA,6,F,N,N,N,N,N,Y,N,N
449,1428,LA,6,M,N,N,N,N,N,Y,N,N
450,1429,LA,6,F,N,N,N,N,N,Y,N,N
451,1430,BU,6,F,N,N,N,N,N,Y,N,N
452,1431,LA,6,F,N,N,N,N,N,Y,N,N
453,1432,EN,6,M,N,N,N,N,N,N,N,Y
454,1433,LA,6,F,N,N,N,N,N,Y,N,N
455,1434,LA,6,M,N,N,Y,N,N,N,N,N
456,1435,AR,6,M,N,N,Y,N,N,N,N,N
457,1436,LA,6,F,N,N,N,N,N,Y,N,N
458,1437,EN,6,M,N,N,N,N,N,Y,N,N
459,1438,LA,6,F,N,N,N,N,N,Y,N,N
460,1439,BU,6,M,N,N,N,N,N,Y,N,N
461,1440,LA,6,F,N,N,N,N,N,Y,N,N
462,1441,LA,6,M,N,N,N,N,N,Y,N,N
463,1442,BU,6,M,N,N,N,N,N,Y,N,N
464,1443,LA,6,F,N,N,N,N,N,Y,N,N
465,1444,LA,6,F,N,N,N,N,N,Y,N,N
466,1445,BU,6,F,N,N,N,N,N,Y,N,N
467,1446,LA,6,F,N,N,N,N,N,Y,N,N
469,1448,AR,6,F,N,N,N,N,N,Y,N,N
470,1449,LA,6,F,N,N,N,N,N,Y,N,N
471,1450,LA,6,F,N,N,N,N,N,Y,N,N
472,1451,LA,6,F,N,N,N,N,N,Y,N,N
473,1452,EN,6,F,N,N,N,N,N,Y,N,N
474,1453,LA,6,F,N,N,N,N,N,Y,N,N
475,1454,LA,6,F,N,N,N,N,N,Y,N,N
476,1455,LA,6,F,N,N,N,N,N,Y,N,N
477,1456,LA,6,F,N,N,N,N,N,Y,N,N
478,1457,LA,6,F,N,N,N,N,N,Y,N,N
479,1458,BU,6,F,N,N,Y,N,N,N,N,N
480,1459,LA,6,F,N,N,N,N,N,Y,N,N
481,1460,EN,6,M,N,N,Y,N,N,N,N,N
482,1461,LA,6,M,N,N,N,N,N,Y,N,N
483,1462,BU,6,M,N,N,N,N,N,Y,N,N
484,1463,LA,6,M,N,N,N,N,N,Y,N,N
485,1464,LA,6,M,N,N,Y,N,N,N,N,N
486,1465,GB,2,M,N,N,N,N,N,Y,N,N
487,1466,LA,6,F,Y,N,N,N,N,Y,N,N
488,1467,LA,6,F,N,N,N,N,N,Y,N,N
489,1468,LA,6,F,N,N,N,N,N,Y,N,N
490,1469,LA,6,M,N,N,N,N,N,N,N,Y
491,1470,BU,6,F,N,N,N,N,N,Y,N,N
492,1471,BU,6,M,N,N,Y,N,N,N,N,N
494,1474,LA,6,M,N,N,N,N,N,Y,N,N
495,1475,BU,6,F,N,N,N,N,N,Y,N,N
496,1476,LA,6,F,N,N,N,N,N,Y,N,N
497,1477,LA,6,F,N,N,N,N,N,Y,N,N
498,1478,LA,6,M,N,N,N,N,N,Y,N,N
499,1479,LA,6,F,N,N,N,N,N,Y,N,N
500,1480,UG,0,F,N,N,N,Y,N,N,N,N
501,1481,LA,6,M,N,N,N,N,N,Y,N,N
502,1482,SI,6,M,N,N,N,N,N,Y,N,N
503,1483,AR,6,F,N,N,N,N,N,Y,N,N
504,1484,LA,6,F,N,N,N,N,N,Y,N,N
505,1485,BU,6,F,N,N,N,N,N,Y,N,N
506,1486,LA,6,F,N,N,N,N,N,N,N,Y
508,1488,FA,6,F,N,N,N,N,N,Y,N,N
509,1489,LA,6,F,N,N,N,N,N,Y,N,N
510,1490,LA,6,M,N,N,N,N,N,Y,N,N
511,1491,BU,6,M,N,N,N,N,N,Y,N,N
512,1492,LA,6,M,N,N,N,N,N,Y,N,N
513,1493,LA,6,F,N,N,N,N,N,Y,N,N
514,1494,LA,6,M,N,N,N,N,N,Y,N,N
515,1495,FA,6,F,N,N,N,N,N,Y,N,N
516,1496,BU,6,F,N,N,N,N,N,Y,N,N
518,1498,BU,6,F,N,N,N,N,N,Y,N,N
519,1499,BU,6,F,N,N,N,N,N,Y,N,N
520,1500,LA,6,M,N,N,N,N,N,Y,N,N
521,1501,LA,6,F,N,N,N,N,N,Y,N,N
522,1502,EN,6,M,N,N,N,N,N,Y,N,N
523,1503,LA,6,M,N,N,N,N,N,Y,N,N
524,1504,LA,6,M,N,N,N,N,N,Y,N,N
525,1505,BU,6,M,N,N,N,N,N,Y,N,N
526,1506,SW,4,F,N,N,N,N,N,Y,N,N
527,1507,LA,6,M,N,N,N,N,N,Y,N,N
528,1508,LA,6,F,N,N,N,N,N,Y,N,N
529,1509,EN,6,M,N,N,N,N,N,Y,N,N
530,1510,BU,6,F,N,N,N,Y,N,N,N,N
531,1511,LA,6,F,N,N,N,N,N,Y,N,N
532,1512,LA,6,F,N,N,N,N,N,Y,N,N
533,1513,LA,6,F,N,N,N,N,N,Y,N,N
534,1514,FA,6,F,N,N,N,N,N,Y,N,N
536,1516,LA,6,F,N,N,N,Y,N,Y,N,N
537,1517,BU,6,F,N,N,N,N,N,Y,N,N
538,1518,BU,6,M,N,N,N,N,N,N,N,Y
539,1519,LA,6,M,N,N,N,N,N,Y,N,N
540,1520,LA,6,F,N,N,Y,N,N,N,N,N
541,1521,BU,6,M,N,N,N,N,N,Y,N,N
542,1523,FA,6,M,N,N,N,Y,N,N,N,N
