,newid,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr
9394,13333,LA,2,M,N,N,Y,N,N,N,N,N
9395,13334,AR,2,F,N,N,N,N,N,Y,N,N
9396,13335,LA,1,F,N,N,N,N,N,Y,N,N
9397,13336,EN,2,M,N,N,N,N,N,Y,N,N
9398,13337,LA,0,F,N,N,N,N,N,Y,N,N
9399,13338,EN,1,M,N,N,N,N,N,Y,N,N
9400,13339,FA,2,F,N,N,N,N,N,Y,N,N
9401,13340,LA,1,M,N,N,N,N,N,Y,N,N
9402,13341,LA,1,F,N,N,Y,N,N,N,N,N
9403,13342,LA,1,F,N,N,N,N,N,Y,N,N
9404,13343,LA,1,M,N,N,Y,N,N,Y,N,N
9405,13344,LA,1,F,N,N,N,N,N,Y,N,N
9406,13345,LA,1,M,N,N,Y,N,N,N,N,N
9407,13346,LA,2,M,N,N,Y,N,N,N,N,N
9408,13347,EN,1,M,N,N,N,N,N,Y,N,N
9409,13348,EN,2,M,N,N,Y,N,N,N,N,N
9410,13349,BU,2,F,N,N,N,N,N,Y,N,N
9411,13350,LA,2,F,N,N,N,N,N,Y,N,N
9412,13351,LA,2,M,N,N,Y,N,N,N,N,N
9413,13352,LA,2,M,N,N,Y,N,N,N,N,N
9414,13353,LA,2,M,N,N,N,N,N,Y,N,N
9415,13354,FA,2,F,N,N,N,N,N,Y,N,N
9416,13355,BU,2,F,Y,N,N,N,N,N,N,N
9417,13356,LA,1,F,N,N,N,N,N,Y,N,N
9418,13357,LA,2,F,N,N,N,N,N,Y,N,N
9419,13358,LA,1,F,N,N,N,N,N,Y,N,N
9420,13359,EN,1,M,N,N,N,N,N,Y,N,N
9421,13360,LA,2,F,N,N,N,N,N,Y,N,N
9422,13361,LA,1,M,N,N,Y,N,N,N,N,N
9423,13362,LA,0,M,N,N,N,Y,N,N,N,N
9424,13363,LA,2,M,Y,N,N,N,N,Y,N,N
9425,13364,BU,1,F,N,N,Y,N,N,N,N,N
9426,13365,AR,2,M,N,N,Y,N,N,Y,N,N
9427,13366,LA,1,F,N,N,N,N,N,Y,N,N
9428,13367,LA,2,F,N,N,Y,N,N,N,N,N
9429,13368,LA,2,M,N,N,N,N,N,Y,N,N
9430,13369,EN,2,M,N,N,N,N,N,Y,N,N
9431,13370,LA,2,M,N,N,Y,N,N,N,N,N
9432,13371,LA,2,M,N,N,Y,N,N,N,N,N
9433,13372,LA,2,M,N,N,Y,N,N,N,N,N
9434,13373,FA,1,F,N,N,N,N,N,Y,N,N
9435,13374,AR,1,F,N,N,Y,N,N,N,N,N
9436,13375,LA,1,F,N,N,Y,N,N,N,Y,N
9437,13376,LA,1,M,N,N,Y,N,N,Y,N,N
9438,13377,LA,1,M,N,N,N,N,N,Y,Y,N
9439,13378,LA,2,M,Y,N,N,N,N,Y,N,N
9440,13379,LA,2,M,N,N,Y,N,N,N,N,N
9441,13380,BU,1,F,N,N,N,N,N,Y,N,N
9442,13381,LA,1,F,Y,N,N,N,N,Y,N,N
9443,13382,BU,1,M,N,N,N,N,N,Y,N,N
9444,13383,BU,1,M,N,N,N,N,N,Y,N,N
9445,13384,EN,1,M,N,N,N,N,N,Y,N,N
9446,13385,LA,2,F,N,N,Y,N,N,N,N,N
9447,13386,BU,1,M,N,N,N,N,N,Y,N,N
9448,13387,LA,1,F,Y,N,Y,N,N,N,N,N
9449,13388,LA,1,M,N,N,Y,N,N,N,N,N
9450,13389,EN,2,M,N,N,Y,Y,N,N,N,N
9451,13390,LA,1,F,N,N,N,N,N,Y,N,N
9452,13391,LA,1,F,N,N,N,N,N,Y,N,N
