date,num,product_list,id,dateandtime,previous_list,match,previous_dateandtime,timediff,timediffstamp,log_timediff,newid,asian,female,stdtlevel,previous_id,previous_newid,previous_asian,previous_female,freshmen,previous_freshmen,staff,previous_staff,month,week,week_order,newid_former,pair_occurance
8/25/13,7471,['taco'],8478,8/25/13 12:43,['quesadilla vegetable'],0,8/25/13 12:43,0 days 00:00:21.000000000,21,3.044522438,7297,0,1,2,8101,6927,0,1,1,1,0,0,8,34,0,6927.0,2
8/25/13,7473,['quesadilla vegetable'],8135,8/25/13 12:43,['taco'],0,8/25/13 12:43,0 days 00:00:32.000000000,32,3.465735903,6961,0,1,2,8478,7297,0,1,1,1,0,0,8,34,0,7297.0,1
8/25/13,7474,['taco'],9402,8/25/13 12:44,['quesadilla vegetable'],0,8/25/13 12:43,0 days 00:00:53.000000000,53,3.970291914,8202,0,1,2,8135,6961,0,1,1,1,0,0,8,34,0,6961.0,1
8/25/13,7477,['quesadilla vegetable'],7933,8/25/13 12:46,['quesadilla vegetable'],1,8/25/13 12:46,0 days 00:00:01.000000000,1,0,6761,0,0,2,8670,7485,0,1,1,1,0,0,8,34,0,8202.0,1
8/25/13,7485,['quesadilla vegetable'],8996,8/25/13 12:47,['taco salad'],0,8/25/13 12:47,0 days 00:00:12.000000000,12,2.48490665,7806,0,1,1,9456,8255,1,0,1,1,0,0,8,34,0,6761.0,1
8/25/13,7489,['taco salad'],10262,8/25/13 12:50,['quesadilla vegetable'],0,8/25/13 12:49,0 days 00:00:46.000000000,46,3.828641396,8931,1,0,2,8718,7533,0,1,1,1,0,0,8,34,0,7806.0,1
8/25/13,7491,['quesadilla vegetable'],8315,8/25/13 12:50,['taco salad'],0,8/25/13 12:50,0 days 00:00:34.000000000,34,3.526360525,7136,0,0,2,10262,8931,1,0,1,1,0,0,8,34,0,8931.0,1
8/25/13,7493,['taco salad'],8488,8/25/13 12:52,['taco salad'],1,8/25/13 12:52,0 days 00:00:35.000000000,35,3.555348061,7307,0,1,1,8738,7551,0,0,1,1,0,0,8,34,0,7136.0,1
8/25/13,7502,['quesadilla vegetable'],2540,8/25/13 12:56,['quesadilla vegetable'],1,8/25/13 12:55,0 days 00:00:09.000000000,9,2.197224577,2079,0,0,8,8571,7388,0,0,0,1,0,0,8,34,0,7307.0,1
8/25/13,7526,['taco salad'],7087,8/25/13 13:18,"['comfort meal', 'taco salad']",1,8/25/13 13:17,0 days 00:00:46.000000000,46,3.828641396,6093,0,1,4,4559,3850,1,0,0,0,0,0,8,34,0,2079.0,1
8/25/13,7530,['quesadilla vegetable'],9562,8/25/13 13:20,['quesadilla vegetable'],1,8/25/13 13:20,0 days 00:00:19.000000000,19,2.944438979,8346,0,1,1,8772,7585,0,1,1,1,0,0,8,34,0,6093.0,1
8/25/13,7532,['burrito'],9543,8/25/13 13:21,['quesadilla vegetable'],0,8/25/13 13:20,0 days 00:00:46.000000000,46,3.828641396,8329,1,0,4,9562,8346,0,1,0,1,0,0,8,34,0,8346.0,1
8/25/13,7533,['taco salad'],3248,8/25/13 13:22,['burrito'],0,8/25/13 13:21,0 days 00:00:21.000000000,21,3.044522438,2673,0,0,8,9543,8329,1,0,0,0,0,0,8,34,0,8329.0,1
8/25/13,7534,['taco salad'],10105,8/25/13 13:22,['taco salad'],1,8/25/13 13:22,0 days 00:00:31.000000000,31,3.433987204,8791,1,1,1,3248,2673,0,0,1,0,0,0,8,34,0,2673.0,1
8/25/13,7535,['quesadilla vegetable'],513,8/25/13 13:23,['taco salad'],0,8/25/13 13:22,0 days 00:00:46.000000000,46,3.828641396,372,1,1,1,10105,8791,1,1,1,1,0,0,8,34,0,8791.0,1
8/25/13,7540,['taco salad'],4025,8/25/13 13:25,['burrito'],0,8/25/13 13:25,0 days 00:00:26.000000000,26,3.258096538,3368,0,0,5,8796,7608,0,0,0,1,0,0,8,34,0,372.0,1
8/25/13,7541,['taco salad'],3197,8/25/13 13:26,['taco salad'],1,8/25/13 13:25,0 days 00:00:49.000000000,49,3.891820298,2629,0,0,6,4025,3368,0,0,0,0,0,0,8,34,0,3368.0,3
8/25/13,7542,['comfort meal'],4290,8/25/13 13:26,['taco salad'],0,8/25/13 13:26,0 days 00:00:07.000000000,7,1.945910149,3614,0,0,6,3197,2629,0,0,0,0,0,0,8,34,0,2629.0,1
8/25/13,7543,['quesadilla vegetable'],9997,8/25/13 13:26,['comfort meal'],0,8/25/13 13:26,0 days 00:00:13.000000000,13,2.564949357,8732,1,0,1,4290,3614,0,0,1,0,0,0,8,34,0,3614.0,1
8/25/13,7557,['regular salad'],8607,8/25/13 13:39,['regular salad'],1,8/25/13 13:38,0 days 00:00:10.000000000,10,2.302585093,7423,1,1,1,6571,5644,0,0,1,0,0,0,8,34,0,8732.0,1
8/25/13,7559,['pizza slice'],9033,8/25/13 13:39,['burrito'],0,8/25/13 13:39,0 days 00:00:30.000000000,30,3.401197382,7843,0,1,1,9033,7843,0,1,1,1,0,0,8,34,0,7423.0,1
8/25/13,7564,['quesadilla vegetable'],9472,8/25/13 13:43,['cheese burger'],0,8/25/13 13:43,0 days 00:00:16.000000000,16,2.772588722,8271,0,0,2,8830,7641,1,0,1,1,0,0,8,34,0,7843.0,1
8/25/13,7575,['burrito'],9301,8/25/13 13:50,['quesadilla vegetable'],0,8/25/13 13:49,0 days 00:00:47.000000000,47,3.850147602,8105,0,0,2,5217,4362,0,1,1,0,0,0,8,34,0,8271.0,1
8/25/13,7578,['quesadilla vegetable'],9194,8/25/13 13:52,['regular salad'],0,8/25/13 13:51,0 days 00:00:18.000000000,18,2.890371758,8000,0,1,2,3685,3057,0,1,1,0,0,0,8,34,0,8105.0,1
8/25/13,7609,['taco salad'],8197,8/25/13 14:21,['burrito'],0,8/25/13 14:21,0 days 00:00:38.000000000,38,3.63758616,7021,0,0,2,9369,8171,0,0,1,1,0,0,8,34,0,8000.0,1
8/25/13,7621,['taco salad'],1383,8/25/13 14:27,"['taco', 'taco salad']",1,8/25/13 14:27,0 days 00:00:26.000000000,26,3.258096538,987,1,0,8,8989,7799,0,0,0,1,0,0,8,34,0,7021.0,1
8/25/13,7622,['taco salad'],5620,8/25/13 14:28,['taco salad'],1,8/25/13 14:27,0 days 00:00:33.000000000,33,3.496507561,4741,0,1,4,1383,987,1,0,0,0,0,0,8,34,0,987.0,1
8/25/13,7627,['quesadilla vegetable'],7964,8/25/13 14:29,['quesadilla vegetable'],1,8/25/13 14:29,0 days 00:00:20.000000000,20,2.995732274,6792,1,0,2,9024,7834,1,0,1,1,0,0,8,34,0,4741.0,1
8/25/13,7655,['taco salad'],8936,8/25/13 15:03,['quesadilla vegetable'],0,8/25/13 15:02,0 days 00:00:39.000000000,39,3.663561646,7746,0,1,2,5648,4768,0,0,1,0,0,0,8,34,0,6792.0,1
8/25/13,7661,['quesadilla vegetable'],5550,8/25/13 15:08,['quesadilla vegetable'],1,8/25/13 15:07,0 days 00:00:10.000000000,10,2.302585093,4676,0,1,3,8301,7122,0,0,0,1,0,0,8,34,0,7746.0,1
8/25/13,7681,['taco salad'],1931,8/25/13 15:31,['taco salad'],1,8/25/13 15:31,0 days 00:00:13.000000000,13,2.564949357,1500,1,0,8,3622,3001,0,0,0,0,0,0,8,34,0,4676.0,1
8/25/13,7717,['grilled chicken sandwich'],1624,8/25/13 16:13,['taco salad'],0,8/25/13 16:12,0 days 00:00:53.000000000,53,3.970291914,1213,0,0,7,4166,3497,0,1,0,0,0,0,8,34,0,1500.0,1
8/25/13,7747,['quesadilla vegetable'],8153,8/25/13 17:04,['burrito'],0,8/25/13 17:03,0 days 00:00:52.000000000,52,3.951243719,6979,0,1,2,8585,7401,0,1,1,1,0,0,8,34,0,1213.0,1
8/25/13,7761,['quesadilla vegetable'],8509,8/25/13 17:15,['quesadilla vegetable'],1,8/25/13 17:15,0 days 00:00:44.000000000,44,3.784189634,7328,1,0,2,8756,7569,1,0,1,1,0,0,8,34,0,6979.0,1
8/25/13,7762,['quesadilla vegetable'],8791,8/25/13 17:16,['quesadilla vegetable'],1,8/25/13 17:15,0 days 00:00:28.000000000,28,3.33220451,7603,0,0,2,8509,7328,1,0,1,1,0,0,8,34,0,7328.0,1
8/25/13,7780,['burrito'],7950,8/25/13 17:24,['burrito'],1,8/25/13 17:23,0 days 00:00:40.000000000,40,3.688879454,6778,0,0,2,9457,8256,0,0,1,1,0,0,8,34,0,7603.0,1
8/25/13,7788,['taco salad'],7096,8/25/13 17:29,['taco salad'],1,8/25/13 17:28,0 days 00:00:11.000000000,11,2.397895273,6102,0,0,4,6536,5611,0,0,0,0,0,0,8,34,0,6778.0,1
8/25/13,7789,['burrito'],8719,8/25/13 17:29,['taco salad'],0,8/25/13 17:29,0 days 00:00:40.000000000,40,3.688879454,7534,0,0,2,7096,6102,0,0,1,0,0,0,8,34,0,6102.0,1
