"Coffee Shop","12/22/2014","8:23:32 AM",5604,50020,"Mug Refill",1,1.10,"Beverage","Beverages",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:25:58 AM",5605,10003,"Cin Roll",1,2.00,"Bakery","Bakery",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:25:58 AM",5605,10004,"Croissant",1,1.50,"Bakery","Bakery",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:25:58 AM",5605,10007,"Muffin",1,1.85,"Bakery","Bakery",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:25:58 AM",5605,10007,"Muffin",1,1.85,"Bakery","Bakery",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:25:58 AM",5605,50029,"Coffee, 20oz",1,2.05,"Coffee Drinks","Coffee Drinks",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:28:05 AM",5606,10007,"Muffin",1,1.85,"Bakery","Bakery",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:29:32 AM",5607,50029,"Coffee, 20oz",1,2.05,"Coffee Drinks","Coffee Drinks",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:32:38 AM",5608,50020,"Mug Refill",1,1.10,"Beverage","Beverages",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:33:18 AM",5609,20007,"Milk Chug",1,1.75,"Beverage","Beverages",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:33:18 AM",5609,30030," Hot Cereal",1,1.50,"Breakfast","Breakfast",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:33:18 AM",5609,50029,"Coffee, 20oz",1,2.05,"Coffee Drinks","Coffee Drinks",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:37:43 AM",5610,50029,"Coffee, 20oz",1,2.05,"Coffee Drinks","Coffee Drinks",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:40:52 AM",5611,50001,"Latte",1,2.95,"Coffee Drinks","Coffee Drinks",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:40:52 AM",5611,50014,"Flavor Shot",1,1.00,"Coffee Drinks","Coffee Drinks",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:45:50 AM",5612,10015,"Bakery Special",1,2.40,"Bakery","Bakery",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:51:50 AM",5613,50028,"Chai, 20oz",1,4.00,"Coffee Drinks","Coffee Drinks",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:53:45 AM",5614,10002,"Bagel",1,1.90,"Bakery","Bakery",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:55:05 AM",5615,20009,"Bottle Soda",1,1.65,"Beverage","Beverages",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:55:05 AM",5615,8600019,"Filled Croissant",1,2.10,"Bakery","Bakery",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:56:02 AM",5616,10002,"Bagel",1,1.90,"Bakery","Bakery",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:56:02 AM",5616,50029,"Coffee, 20oz",1,2.05,"Coffee Drinks","Coffee Drinks",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:57:24 AM",5617,10015,"Bakery Special",1,2.90,"Bakery","Bakery",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:59:28 AM",5618,20007,"Milk Chug",1,1.75,"Beverage","Beverages",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:59:28 AM",5618,20009,"Bottle Soda",1,1.65,"Beverage","Beverages",,"Demetriu","CoffeeSh"
"Coffee Shop","12/22/2014","8:59:49 AM",5619,20027,"Bottle Juice",1,2.15,"Beverage","Beverages",,"Demetriu","CoffeeSh"
